MMWR Year,MMWR Week,Jurisdiction of Occurrence,Influenza and pneumonia (J10-J18)
2016,30,United States,740
2016,31,United States,752
2016,32,United States,777
2016,33,United States,722
2016,34,United States,725
2016,35,United States,777
2016,36,United States,760
2016,37,United States,814
2016,38,United States,766
2016,39,United States,725
2016,40,United States,779
2016,41,United States,831
2016,42,United States,848
2016,43,United States,820
2016,44,United States,827
2016,45,United States,891
2016,46,United States,869
2016,47,United States,883
2016,48,United States,917
2016,49,United States,"1,052"
2016,50,United States,"1,077"
2016,51,United States,"1,121"
2016,52,United States,"1,318"
2017,1,United States,"1,54"
2017,2,United States,"1,599"
2017,3,United States,"1,612"
2017,4,United States,"1,528"
2017,5,United States,"1,611"
2017,6,United States,"1,62"
2017,7,United States,"1,682"
2017,8,United States,"1,709"
2017,9,United States,"1,632"
2017,10,United States,"1,565"
2017,11,United States,"1,451"
2017,12,United States,"1,393"
2017,13,United States,"1,312"
2017,14,United States,"1,234"
2017,15,United States,"1,193"
2017,16,United States,"1,059"
2017,17,United States,992
2017,18,United States,973
2017,19,United States,898
2017,20,United States,874
2017,21,United States,812
2017,22,United States,842
2017,23,United States,848
2017,24,United States,795
2017,25,United States,783
2017,26,United States,789
2017,27,United States,776
2017,28,United States,810
2017,29,United States,708
2017,30,United States,756
2017,31,United States,700
2017,32,United States,724
2017,33,United States,703
2017,34,United States,729
2017,35,United States,719
2017,36,United States,797
2017,37,United States,796
2017,38,United States,734
2017,39,United States,797
2017,40,United States,793
2017,41,United States,813
2017,42,United States,826
2017,43,United States,841
2017,44,United States,841
2017,45,United States,886
2017,46,United States,908
2017,47,United States,902
2017,48,United States,"1,006"
2017,49,United States,"1,048"
2017,50,United States,"1,211"
2017,51,United States,"1,392"
2017,52,United States,"1,813"
2018,1,United States,"2,509"
2018,2,United States,"2,886"
2018,3,United States,"2,93"
2018,4,United States,"2,695"
2018,5,United States,"2,495"
2018,6,United States,"2,308"
2018,7,United States,"2,234"
2018,8,United States,"1,987"
2018,9,United States,"1,688"
2018,10,United States,"1,464"
2018,11,United States,"1,414"
2018,12,United States,"1,26"
2018,13,United States,"1,278"
2018,14,United States,"1,283"
2018,15,United States,"1,096"
2018,16,United States,"1,055"
2018,17,United States,957
2018,18,United States,945
2018,19,United States,788
2018,20,United States,781
2018,21,United States,760
2018,22,United States,753
2018,23,United States,760
2018,24,United States,779
2018,25,United States,737
2018,26,United States,779
2018,27,United States,757
2018,28,United States,689
2018,29,United States,680
2018,30,United States,734
2018,31,United States,677
2018,32,United States,720
2018,33,United States,625
2018,34,United States,677
2018,35,United States,685
2018,36,United States,692
2018,37,United States,722
2018,38,United States,723
2018,39,United States,732
2018,40,United States,828
2018,41,United States,733
2018,42,United States,773
2018,43,United States,789
2018,44,United States,768
2018,45,United States,803
2018,46,United States,880
2018,47,United States,849
2018,48,United States,904
2018,49,United States,958
2018,50,United States,969
2018,51,United States,999
2018,52,United States,"1,084"
2019,1,United States,"1,264"
2019,2,United States,"1,316"
2019,3,United States,"1,329"
2019,4,United States,"1,239"
2019,5,United States,"1,308"
2019,6,United States,"1,335"
2019,7,United States,"1,405"
2019,8,United States,"1,406"
2019,9,United States,"1,429"
2019,10,United States,"1,474"
2019,11,United States,"1,485"
2019,12,United States,"1,418"
2019,13,United States,"1,317"
2019,14,United States,"1,223"
2019,15,United States,"1,114"
2019,16,United States,"1,034"
2019,17,United States,"1,006"
2019,18,United States,939
2019,19,United States,866
2019,20,United States,834
2019,21,United States,803
2019,22,United States,813
2019,23,United States,805
2019,24,United States,757
2019,25,United States,756
2019,26,United States,767
2019,27,United States,728
2019,28,United States,685
2019,29,United States,687
2019,30,United States,697
2019,31,United States,723
2019,32,United States,689
2019,33,United States,672
2019,34,United States,645
2019,35,United States,689
2019,36,United States,677
2019,37,United States,637
2019,38,United States,691
2019,39,United States,705
2019,40,United States,659
2019,41,United States,720
2019,42,United States,769
2019,43,United States,758
2019,44,United States,781
2019,45,United States,807
2019,46,United States,864
2019,47,United States,805
2019,48,United States,823
2019,49,United States,988
2019,50,United States,"1,013"
2019,51,United States,"1,047"
2019,52,United States,"1,115"
2014,1,Alabama,38
2014,2,Alabama,37
2014,3,Alabama,34
2014,4,Alabama,42
2014,5,Alabama,26
2014,6,Alabama,31
2014,7,Alabama,27
2014,8,Alabama,21
2014,9,Alabama,28
2014,10,Alabama,20
2014,11,Alabama,16
2014,12,Alabama,17
2014,13,Alabama,5
2014,14,Alabama,11
2014,15,Alabama,16
2014,16,Alabama,15
2014,17,Alabama,18
2014,18,Alabama,15
2014,19,Alabama,20
2014,20,Alabama,18
2014,21,Alabama,5
2014,22,Alabama,11
2014,23,Alabama,13
2014,24,Alabama,20
2014,25,Alabama,17
2014,26,Alabama,16
2014,27,Alabama,12
2014,28,Alabama,12
2014,29,Alabama,19
2014,30,Alabama,11
2014,31,Alabama,14
2014,32,Alabama,15
2014,33,Alabama,15
2014,34,Alabama,17
2014,35,Alabama,15
2014,36,Alabama,5
2014,37,Alabama,5
2014,38,Alabama,18
2014,39,Alabama,19
2014,40,Alabama,14
2014,41,Alabama,12
2014,42,Alabama,19
2014,43,Alabama,14
2014,44,Alabama,13
2014,45,Alabama,18
2014,46,Alabama,14
2014,47,Alabama,25
2014,48,Alabama,23
2014,49,Alabama,20
2014,50,Alabama,28
2014,51,Alabama,26
2014,52,Alabama,40
2014,53,Alabama,44
2015,1,Alabama,48
2015,2,Alabama,41
2015,3,Alabama,26
2015,4,Alabama,22
2015,5,Alabama,34
2015,6,Alabama,37
2015,7,Alabama,23
2015,8,Alabama,39
2015,9,Alabama,24
2015,10,Alabama,33
2015,11,Alabama,27
2015,12,Alabama,19
2015,13,Alabama,22
2015,14,Alabama,27
2015,15,Alabama,23
2015,16,Alabama,22
2015,17,Alabama,22
2015,18,Alabama,15
2015,19,Alabama,12
2015,20,Alabama,22
2015,21,Alabama,15
2015,22,Alabama,12
2015,23,Alabama,14
2015,24,Alabama,10
2015,25,Alabama,16
2015,26,Alabama,11
2015,27,Alabama,20
2015,28,Alabama,18
2015,29,Alabama,16
2015,30,Alabama,5
2015,31,Alabama,14
2015,32,Alabama,16
2015,33,Alabama,5
2015,34,Alabama,21
2015,35,Alabama,18
2015,36,Alabama,16
2015,37,Alabama,11
2015,38,Alabama,11
2015,39,Alabama,15
2015,40,Alabama,13
2015,41,Alabama,12
2015,42,Alabama,19
2015,43,Alabama,28
2015,44,Alabama,17
2015,45,Alabama,15
2015,46,Alabama,21
2015,47,Alabama,19
2015,48,Alabama,15
2015,49,Alabama,17
2015,50,Alabama,11
2015,51,Alabama,33
2015,52,Alabama,17
2016,1,Alabama,26
2016,2,Alabama,19
2016,3,Alabama,20
2016,4,Alabama,16
2016,5,Alabama,21
2016,6,Alabama,21
2016,7,Alabama,24
2016,8,Alabama,27
2016,9,Alabama,23
2016,10,Alabama,17
2016,11,Alabama,27
2016,12,Alabama,27
2016,13,Alabama,22
2016,14,Alabama,15
2016,15,Alabama,20
2016,16,Alabama,11
2016,17,Alabama,5
2016,18,Alabama,22
2016,19,Alabama,15
2016,20,Alabama,16
2016,21,Alabama,24
2016,22,Alabama,10
2016,23,Alabama,16
2016,24,Alabama,18
2016,25,Alabama,17
2016,26,Alabama,14
2016,27,Alabama,20
2016,28,Alabama,13
2016,29,Alabama,17
2016,30,Alabama,24
2016,31,Alabama,21
2016,32,Alabama,11
2016,33,Alabama,10
2016,34,Alabama,11
2016,35,Alabama,21
2016,36,Alabama,18
2016,37,Alabama,16
2016,38,Alabama,20
2016,39,Alabama,5
2016,40,Alabama,15
2016,41,Alabama,17
2016,42,Alabama,12
2016,43,Alabama,15
2016,44,Alabama,12
2016,45,Alabama,18
2016,46,Alabama,25
2016,47,Alabama,18
2016,48,Alabama,18
2016,49,Alabama,22
2016,50,Alabama,13
2016,51,Alabama,34
2016,52,Alabama,24
2017,1,Alabama,29
2017,2,Alabama,33
2017,3,Alabama,35
2017,4,Alabama,24
2017,5,Alabama,16
2017,6,Alabama,32
2017,7,Alabama,27
2017,8,Alabama,33
2017,9,Alabama,33
2017,10,Alabama,36
2017,11,Alabama,27
2017,12,Alabama,30
2017,13,Alabama,13
2017,14,Alabama,18
2017,15,Alabama,20
2017,16,Alabama,32
2017,17,Alabama,18
2017,18,Alabama,16
2017,19,Alabama,19
2017,20,Alabama,22
2017,21,Alabama,22
2017,22,Alabama,18
2017,23,Alabama,17
2017,24,Alabama,11
2017,25,Alabama,22
2017,26,Alabama,16
2017,27,Alabama,17
2017,28,Alabama,17
2017,29,Alabama,22
2017,30,Alabama,23
2017,31,Alabama,21
2017,32,Alabama,19
2017,33,Alabama,16
2017,34,Alabama,15
2017,35,Alabama,16
2017,36,Alabama,28
2017,37,Alabama,24
2017,38,Alabama,11
2017,39,Alabama,21
2017,40,Alabama,16
2017,41,Alabama,22
2017,42,Alabama,24
2017,43,Alabama,19
2017,44,Alabama,16
2017,45,Alabama,16
2017,46,Alabama,21
2017,47,Alabama,20
2017,48,Alabama,20
2017,49,Alabama,27
2017,50,Alabama,28
2017,51,Alabama,17
2017,52,Alabama,34
2018,1,Alabama,44
2018,2,Alabama,68
2018,3,Alabama,67
2018,4,Alabama,64
2018,5,Alabama,58
2018,6,Alabama,54
2018,7,Alabama,46
2018,8,Alabama,39
2018,9,Alabama,34
2018,10,Alabama,22
2018,11,Alabama,23
2018,12,Alabama,15
2018,13,Alabama,28
2018,14,Alabama,18
2018,15,Alabama,19
2018,16,Alabama,24
2018,17,Alabama,12
2018,18,Alabama,15
2018,19,Alabama,17
2018,20,Alabama,11
2018,21,Alabama,23
2018,22,Alabama,16
2018,23,Alabama,14
2018,24,Alabama,11
2018,25,Alabama,16
2018,26,Alabama,19
2018,27,Alabama,15
2018,28,Alabama,20
2018,29,Alabama,16
2018,30,Alabama,21
2018,31,Alabama,14
2018,32,Alabama,16
2018,33,Alabama,14
2018,34,Alabama,12
2018,35,Alabama,18
2018,36,Alabama,11
2018,37,Alabama,23
2018,38,Alabama,21
2018,39,Alabama,13
2018,40,Alabama,12
2018,41,Alabama,18
2018,42,Alabama,19
2018,43,Alabama,16
2018,44,Alabama,17
2018,45,Alabama,16
2018,46,Alabama,17
2018,47,Alabama,13
2018,48,Alabama,14
2018,49,Alabama,21
2018,50,Alabama,28
2018,51,Alabama,30
2018,52,Alabama,25
2019,1,Alabama,21
2019,2,Alabama,18
2019,3,Alabama,31
2019,4,Alabama,22
2019,5,Alabama,19
2019,6,Alabama,28
2019,7,Alabama,27
2019,8,Alabama,17
2019,9,Alabama,28
2019,10,Alabama,19
2019,11,Alabama,26
2019,12,Alabama,22
2019,13,Alabama,20
2019,14,Alabama,18
2019,15,Alabama,21
2019,16,Alabama,19
2019,17,Alabama,19
2019,18,Alabama,21
2019,19,Alabama,18
2019,20,Alabama,19
2019,21,Alabama,21
2019,22,Alabama,18
2019,23,Alabama,11
2019,24,Alabama,23
2019,25,Alabama,20
2019,26,Alabama,17
2019,27,Alabama,10
2019,28,Alabama,11
2019,29,Alabama,15
2019,30,Alabama,12
2019,31,Alabama,19
2019,32,Alabama,12
2019,33,Alabama,15
2019,34,Alabama,19
2019,35,Alabama,18
2019,36,Alabama,16
2019,37,Alabama,21
2019,38,Alabama,13
2019,39,Alabama,19
2019,40,Alabama,10
2019,41,Alabama,5
2019,42,Alabama,16
2019,43,Alabama,18
2019,44,Alabama,18
2019,45,Alabama,10
2019,46,Alabama,22
2019,47,Alabama,19
2019,48,Alabama,27
2019,49,Alabama,20
2019,50,Alabama,25
2019,51,Alabama,19
2019,52,Alabama,15
2014,1,Alaska,5
2014,2,Alaska,5
2014,3,Alaska,5
2014,4,Alaska,5
2014,5,Alaska,0
2014,6,Alaska,5
2014,7,Alaska,0
2014,8,Alaska,5
2014,9,Alaska,0
2014,10,Alaska,5
2015,25,Florida,40
2014,11,Alaska,0
2014,12,Alaska,5
2014,13,Alaska,5
2014,14,Alaska,5
2014,15,Alaska,5
2014,16,Alaska,0
2014,17,Alaska,5
2014,18,Alaska,5
2014,19,Alaska,0
2014,20,Alaska,5
2014,21,Alaska,0
2014,22,Alaska,5
2014,23,Alaska,5
2014,24,Alaska,5
2014,25,Alaska,5
2014,26,Alaska,5
2014,27,Alaska,5
2014,28,Alaska,0
2014,29,Alaska,5
2014,30,Alaska,5
2014,31,Alaska,5
2014,32,Alaska,5
2014,33,Alaska,0
2014,34,Alaska,0
2014,35,Alaska,5
2014,36,Alaska,5
2014,37,Alaska,0
2014,38,Alaska,0
2014,39,Alaska,0
2014,40,Alaska,0
2014,41,Alaska,5
2014,42,Alaska,5
2014,43,Alaska,5
2014,44,Alaska,5
2014,45,Alaska,5
2014,46,Alaska,5
2014,47,Alaska,0
2014,48,Alaska,5
2014,49,Alaska,5
2014,50,Alaska,5
2014,51,Alaska,5
2014,52,Alaska,0
2014,53,Alaska,5
2015,1,Alaska,0
2015,2,Alaska,5
2015,3,Alaska,5
2015,4,Alaska,0
2015,5,Alaska,5
2015,6,Alaska,5
2015,7,Alaska,0
2015,8,Alaska,5
2015,9,Alaska,0
2015,10,Alaska,5
2015,11,Alaska,5
2015,12,Alaska,5
2015,13,Alaska,5
2015,14,Alaska,0
2015,15,Alaska,0
2015,16,Alaska,5
2015,17,Alaska,5
2015,18,Alaska,5
2015,19,Alaska,5
2015,20,Alaska,0
2015,21,Alaska,5
2015,22,Alaska,5
2015,23,Alaska,0
2015,24,Alaska,5
2015,25,Alaska,0
2015,26,Alaska,0
2015,27,Alaska,0
2015,28,Alaska,0
2015,29,Alaska,0
2015,30,Alaska,5
2015,31,Alaska,0
2015,32,Alaska,5
2015,33,Alaska,5
2015,34,Alaska,0
2015,35,Alaska,0
2015,36,Alaska,5
2015,37,Alaska,5
2015,38,Alaska,5
2015,39,Alaska,5
2015,40,Alaska,0
2015,41,Alaska,5
2015,26,Florida,47
2015,42,Alaska,5
2015,43,Alaska,0
2015,44,Alaska,0
2015,45,Alaska,0
2015,46,Alaska,0
2015,47,Alaska,0
2015,48,Alaska,5
2015,49,Alaska,5
2015,50,Alaska,0
2015,51,Alaska,0
2015,52,Alaska,5
2016,1,Alaska,0
2016,2,Alaska,5
2016,3,Alaska,0
2016,4,Alaska,5
2016,5,Alaska,5
2016,6,Alaska,5
2016,7,Alaska,0
2016,8,Alaska,5
2016,9,Alaska,5
2016,10,Alaska,5
2016,11,Alaska,5
2016,12,Alaska,0
2016,13,Alaska,5
2016,14,Alaska,5
2016,15,Alaska,5
2016,16,Alaska,5
2016,17,Alaska,5
2015,27,Florida,42
2016,18,Alaska,5
2016,19,Alaska,5
2016,20,Alaska,5
2016,21,Alaska,5
2016,22,Alaska,5
2016,23,Alaska,0
2016,24,Alaska,5
2016,25,Alaska,5
2016,26,Alaska,0
2016,27,Alaska,0
2016,28,Alaska,5
2016,29,Alaska,5
2016,30,Alaska,5
2016,31,Alaska,5
2016,32,Alaska,5
2016,33,Alaska,0
2016,34,Alaska,5
2016,35,Alaska,5
2016,36,Alaska,5
2016,37,Alaska,5
2016,38,Alaska,0
2016,39,Alaska,5
2016,40,Alaska,5
2016,41,Alaska,0
2016,42,Alaska,0
2016,43,Alaska,5
2016,44,Alaska,0
2016,45,Alaska,5
2016,46,Alaska,0
2016,47,Alaska,5
2016,48,Alaska,5
2016,49,Alaska,5
2016,50,Alaska,5
2016,51,Alaska,5
2016,52,Alaska,5
2017,1,Alaska,0
2017,2,Alaska,0
2017,3,Alaska,5
2017,4,Alaska,5
2017,5,Alaska,5
2017,6,Alaska,5
2017,7,Alaska,5
2017,8,Alaska,5
2017,9,Alaska,5
2017,10,Alaska,5
2017,11,Alaska,5
2017,12,Alaska,5
2017,13,Alaska,5
2017,14,Alaska,5
2017,15,Alaska,5
2017,16,Alaska,0
2017,17,Alaska,5
2017,18,Alaska,0
2017,19,Alaska,5
2017,20,Alaska,0
2015,28,Florida,34
2017,21,Alaska,5
2017,22,Alaska,0
2017,23,Alaska,0
2017,24,Alaska,5
2017,25,Alaska,5
2017,26,Alaska,5
2017,27,Alaska,0
2017,28,Alaska,0
2017,29,Alaska,5
2017,30,Alaska,0
2017,31,Alaska,5
2017,32,Alaska,5
2017,33,Alaska,5
2017,34,Alaska,5
2017,35,Alaska,0
2017,36,Alaska,5
2017,37,Alaska,5
2017,38,Alaska,0
2017,39,Alaska,5
2017,40,Alaska,0
2017,41,Alaska,5
2017,42,Alaska,5
2017,43,Alaska,0
2017,44,Alaska,5
2017,45,Alaska,0
2017,46,Alaska,5
2017,47,Alaska,5
2017,48,Alaska,0
2015,29,Florida,41
2017,49,Alaska,5
2017,50,Alaska,0
2017,51,Alaska,5
2017,52,Alaska,5
2018,1,Alaska,0
2018,2,Alaska,5
2018,3,Alaska,5
2018,4,Alaska,0
2018,5,Alaska,5
2018,6,Alaska,0
2018,7,Alaska,5
2018,8,Alaska,0
2018,9,Alaska,5
2018,10,Alaska,5
2018,11,Alaska,5
2018,12,Alaska,5
2018,13,Alaska,5
2018,14,Alaska,5
2018,15,Alaska,5
2018,16,Alaska,5
2018,17,Alaska,5
2018,18,Alaska,5
2018,19,Alaska,0
2018,20,Alaska,0
2018,21,Alaska,5
2018,22,Alaska,5
2018,23,Alaska,0
2018,24,Alaska,5
2018,25,Alaska,5
2018,26,Alaska,0
2018,27,Alaska,5
2018,28,Alaska,5
2018,29,Alaska,0
2018,30,Alaska,5
2018,31,Alaska,5
2018,32,Alaska,5
2018,33,Alaska,0
2018,34,Alaska,5
2018,35,Alaska,0
2018,36,Alaska,5
2018,37,Alaska,0
2018,38,Alaska,5
2018,39,Alaska,5
2018,40,Alaska,5
2018,41,Alaska,5
2018,42,Alaska,5
2018,43,Alaska,0
2018,44,Alaska,0
2018,45,Alaska,0
2018,46,Alaska,5
2018,47,Alaska,5
2018,48,Alaska,0
2018,49,Alaska,5
2018,50,Alaska,0
2018,51,Alaska,5
2018,52,Alaska,5
2019,1,Alaska,0
2019,2,Alaska,5
2019,3,Alaska,5
2019,4,Alaska,0
2019,5,Alaska,5
2019,6,Alaska,5
2019,7,Alaska,5
2019,8,Alaska,5
2019,9,Alaska,5
2019,10,Alaska,5
2019,11,Alaska,5
2019,12,Alaska,5
2019,13,Alaska,5
2019,14,Alaska,0
2019,15,Alaska,0
2019,16,Alaska,5
2019,17,Alaska,5
2019,18,Alaska,0
2019,19,Alaska,0
2019,20,Alaska,0
2019,21,Alaska,5
2019,22,Alaska,5
2019,23,Alaska,0
2019,24,Alaska,0
2019,25,Alaska,0
2019,26,Alaska,0
2019,27,Alaska,5
2015,30,Florida,36
2019,28,Alaska,5
2019,29,Alaska,0
2019,30,Alaska,5
2019,31,Alaska,0
2019,32,Alaska,0
2019,33,Alaska,0
2019,34,Alaska,5
2019,35,Alaska,0
2019,36,Alaska,0
2019,37,Alaska,5
2019,38,Alaska,0
2019,39,Alaska,5
2019,40,Alaska,0
2019,41,Alaska,0
2019,42,Alaska,0
2019,43,Alaska,5
2019,44,Alaska,5
2019,45,Alaska,0
2019,46,Alaska,0
2019,47,Alaska,0
2019,48,Alaska,5
2019,49,Alaska,0
2019,50,Alaska,0
2019,51,Alaska,0
2019,52,Alaska,5
2014,1,Arizona,17
2014,2,Arizona,27
2014,3,Arizona,31
2014,4,Arizona,44
2014,5,Arizona,41
2015,31,Florida,47
2014,6,Arizona,23
2014,7,Arizona,30
2014,8,Arizona,19
2014,9,Arizona,20
2014,10,Arizona,18
2014,11,Arizona,17
2014,12,Arizona,20
2014,13,Arizona,22
2014,14,Arizona,15
2014,15,Arizona,14
2014,16,Arizona,12
2014,17,Arizona,5
2014,18,Arizona,10
2014,19,Arizona,19
2014,20,Arizona,14
2014,21,Arizona,5
2014,22,Arizona,13
2014,23,Arizona,10
2014,24,Arizona,10
2014,25,Arizona,14
2014,26,Arizona,5
2014,27,Arizona,5
2014,28,Arizona,5
2014,29,Arizona,13
2014,30,Arizona,5
2014,31,Arizona,10
2014,32,Arizona,10
2014,33,Arizona,5
2014,34,Arizona,5
2014,35,Arizona,12
2014,36,Arizona,5
2014,37,Arizona,13
2014,38,Arizona,5
2014,39,Arizona,11
2014,40,Arizona,11
2014,41,Arizona,10
2014,42,Arizona,11
2014,43,Arizona,15
2014,44,Arizona,12
2014,45,Arizona,5
2014,46,Arizona,11
2014,47,Arizona,11
2014,48,Arizona,21
2014,49,Arizona,11
2014,50,Arizona,5
2014,51,Arizona,16
2014,52,Arizona,11
2014,53,Arizona,16
2015,1,Arizona,32
2015,2,Arizona,23
2015,3,Arizona,24
2015,4,Arizona,40
2015,5,Arizona,24
2015,6,Arizona,14
2015,7,Arizona,15
2015,8,Arizona,23
2015,9,Arizona,20
2015,10,Arizona,27
2015,11,Arizona,13
2015,12,Arizona,19
2015,13,Arizona,5
2015,14,Arizona,12
2015,15,Arizona,16
2015,16,Arizona,22
2015,17,Arizona,5
2015,18,Arizona,15
2015,19,Arizona,14
2015,20,Arizona,23
2015,21,Arizona,16
2015,22,Arizona,14
2015,23,Arizona,12
2015,24,Arizona,11
2015,25,Arizona,13
2015,26,Arizona,10
2015,27,Arizona,5
2015,28,Arizona,10
2015,29,Arizona,5
2015,30,Arizona,5
2015,31,Arizona,5
2015,32,Arizona,5
2015,33,Arizona,12
2015,34,Arizona,5
2015,35,Arizona,5
2015,36,Arizona,10
2015,37,Arizona,5
2015,38,Arizona,5
2015,39,Arizona,5
2015,40,Arizona,11
2015,41,Arizona,12
2015,42,Arizona,12
2015,43,Arizona,10
2015,44,Arizona,11
2015,45,Arizona,10
2015,46,Arizona,18
2015,47,Arizona,13
2015,48,Arizona,14
2015,49,Arizona,13
2015,50,Arizona,22
2015,51,Arizona,18
2015,52,Arizona,21
2016,1,Arizona,11
2016,2,Arizona,12
2016,3,Arizona,23
2016,4,Arizona,27
2016,5,Arizona,26
2016,6,Arizona,44
2016,7,Arizona,49
2016,8,Arizona,36
2016,9,Arizona,41
2016,10,Arizona,52
2016,11,Arizona,37
2016,12,Arizona,29
2016,13,Arizona,23
2016,14,Arizona,18
2016,15,Arizona,17
2016,16,Arizona,17
2016,17,Arizona,19
2016,18,Arizona,14
2016,19,Arizona,11
2016,20,Arizona,13
2016,21,Arizona,14
2016,22,Arizona,11
2016,23,Arizona,13
2016,24,Arizona,5
2016,25,Arizona,10
2016,26,Arizona,5
2016,27,Arizona,14
2016,28,Arizona,13
2016,29,Arizona,5
2016,30,Arizona,10
2016,31,Arizona,12
2016,32,Arizona,10
2016,33,Arizona,11
2016,34,Arizona,5
2016,35,Arizona,5
2016,36,Arizona,13
2016,37,Arizona,12
2016,38,Arizona,11
2016,39,Arizona,5
2016,40,Arizona,5
2016,41,Arizona,11
2016,42,Arizona,13
2016,43,Arizona,18
2016,44,Arizona,5
2016,45,Arizona,21
2016,46,Arizona,12
2016,47,Arizona,12
2016,48,Arizona,10
2016,49,Arizona,17
2016,50,Arizona,10
2016,51,Arizona,10
2016,52,Arizona,29
2017,1,Arizona,20
2017,2,Arizona,22
2017,3,Arizona,21
2017,4,Arizona,19
2017,5,Arizona,24
2017,6,Arizona,23
2017,7,Arizona,15
2017,8,Arizona,20
2017,9,Arizona,25
2017,10,Arizona,15
2017,11,Arizona,23
2017,12,Arizona,20
2017,13,Arizona,16
2017,14,Arizona,14
2017,15,Arizona,12
2017,16,Arizona,15
2017,17,Arizona,21
2017,18,Arizona,17
2017,19,Arizona,14
2017,20,Arizona,15
2017,21,Arizona,16
2017,22,Arizona,12
2017,23,Arizona,11
2017,24,Arizona,10
2017,25,Arizona,13
2017,26,Arizona,5
2017,27,Arizona,12
2017,28,Arizona,5
2017,29,Arizona,5
2017,30,Arizona,5
2017,31,Arizona,5
2017,32,Arizona,12
2017,33,Arizona,10
2017,34,Arizona,5
2017,35,Arizona,12
2017,36,Arizona,11
